Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1636672892,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636672893,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636672894,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636672895,15,,Aggregated,0.000000,0.000000,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2,0,1500.0,1912.3927084729075,1486.534665338695,2338.25075160712,79.0
1636672896,20,,Aggregated,0.000000,0.000000,1500,2100,2100,2300,2300,2300,2300,2300,2300,2300,2300,5,0,1500.0,1721.5375097468495,1277.1992087364197,2338.25075160712,80.8
1636672897,25,,Aggregated,0.666667,0.000000,1500,1600,2100,2100,2300,2300,2300,2300,2300,2300,2300,7,0,1500.0,1648.0615955910512,1277.1992087364197,2338.25075160712,78.0
1636672898,30,,Aggregated,0.666667,0.000000,1500,1600,2100,2100,2300,2300,2300,2300,2300,2300,2300,8,0,1400.0,1577.240975573659,1081.4966354519129,2338.25075160712,80.125
1636672899,35,,Aggregated,1.200000,0.000000,1500,1600,2100,2300,5900,5900,5900,5900,5900,5900,5900,9,0,1500.0,2053.540180851188,1081.4966354519129,5863.93382307142,77.11111111111111
1636672900,40,,Aggregated,1.200000,0.000000,1500,2100,2300,2300,5900,7500,7500,7500,7500,7500,7500,11,0,1500.0,2493.252570656213,1081.4966354519129,7482.93222207576,76.0909090909091
1636672901,45,,Aggregated,1.142857,0.000000,1500,1700,2100,2300,5900,7500,7500,7500,7500,7500,7500,13,0,1500.0,2318.8884632948498,1010.5004357174039,7482.93222207576,459.46153846153845
1636672902,50,,Aggregated,1.375000,0.000000,1600,1700,2100,2300,7500,7800,7800,7800,7800,7800,7800,17,0,1600.0,2464.2935307039056,708.535180427134,7797.879903577268,957.4117647058823
1636672903,55,,Aggregated,1.333333,0.000000,1600,2100,5900,7500,7900,10000,10000,10000,10000,10000,10000,20,0,1600.0,3032.0596809964627,530.465031042695,10355.480775237083,826.9
1636672904,60,,Aggregated,1.500000,0.000000,1700,2300,6100,6900,7900,9700,10000,10000,10000,10000,10000,26,0,1600.0,3400.427372732128,530.465031042695,10355.480775237083,655.8076923076923
1636672905,65,,Aggregated,1.500000,0.000000,1600,2200,6100,6900,7900,9700,10000,10000,10000,10000,10000,27,0,1600.0,3324.458332973774,530.465031042695,10355.480775237083,636.7777777777778
1636672906,70,,Aggregated,1.800000,0.000000,1600,2300,5900,6900,7900,9700,10000,10000,10000,10000,10000,29,0,1600.0,3212.5307301958574,530.465031042695,10355.480775237083,599.6896551724138
1636672907,75,,Aggregated,2.500000,0.000000,2100,5900,7500,7900,11000,14000,15000,15000,15000,15000,15000,38,0,2000.0,4256.905221502836,530.465031042695,14871.640850789845,611.8684210526316
1636672908,80,,Aggregated,2.400000,0.000000,2100,5900,7800,9400,11000,14000,15000,15000,15000,15000,15000,44,0,2000.0,4372.959762621163,353.84005308151245,15041.350149549544,651.4545454545455
1636672909,80,,Aggregated,3.000000,0.000000,2000,2600,7500,9400,11000,14000,15000,15000,15000,15000,15000,50,0,1800.0,4275.067086536437,353.84005308151245,15041.350149549544,583.12
1636672910,80,,Aggregated,3.000000,0.000000,2000,2600,7800,9400,11000,15000,15000,16000,16000,16000,16000,54,0,2000.0,4481.464814653413,241.2697644904256,16456.964834593236,637.4629629629629
1636672911,80,,Aggregated,3.500000,0.000000,2000,2600,7800,9400,11000,15000,15000,16000,16000,16000,16000,57,0,2000.0,4493.283168559796,241.2697644904256,16456.964834593236,608.2105263157895
1636672912,80,,Aggregated,4.300000,0.000000,1800,2600,7500,9300,11000,14000,15000,16000,16000,16000,16000,61,0,1800.0,4348.423480575324,241.2697644904256,16456.964834593236,574.311475409836
1636672913,80,,Aggregated,4.500000,0.000000,2000,5900,7900,10000,14000,16000,17000,18000,18000,18000,18000,65,0,2000.0,4858.672209599843,241.2697644904256,18153.752307407558,543.4615384615385
