Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/aes_100,34,0,2000.0,20160.042965702494,641.0589683800936,60042.260869406164,58.73529411764706,0.05671150794436793,0.0,2700,26000,46000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_150,54,0,930.0,12230.253104655141,633.1898383796215,60047.443880699575,56.888888888888886,0.09007121849987848,0.0,1100,1600,3700,21000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_40,10,0,1700.0,13266.95504328236,837.760322727263,60021.39313146472,55.1,0.016679855277755274,0.0,2300,5000,16000,42000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/aes_75,25,0,2100.0,18125.789053477347,663.621773943305,60060.410431586206,59.92,0.04169963819438818,0.0,2100,6300,55000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_100,32,0,1400.0,15163.805488176877,189.1474612057209,60030.7699367404,4293.8125,0.053375536888816875,0.0,1600,15000,28000,33000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_150,35,0,1100.0,14789.910463802516,168.11742074787617,60032.75724314153,4075.7428571428572,0.05837949347214346,0.0,1100,1700,29000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_40,15,0,2600.0,20734.280327210825,169.422616250813,60058.26439522207,3743.0666666666666,0.02501978291663291,0.0,2600,6300,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cham_75,21,0,1300.0,15673.866462938133,178.11611481010914,60029.527614824474,4360.714285714285,0.035027696083286076,0.0,1300,1700,31000,45000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_100,21,0,6500.0,20010.589894749934,1780.6750480085611,60050.1058017835,71.61904761904762,0.035027696083286076,0.0,6500,23000,31000,42000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_150,54,0,5000.0,19687.796518741245,1823.3096711337566,60032.83773642033,71.57407407407408,0.09007121849987848,0.0,5100,10000,45000,57000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_40,21,0,8400.0,17211.20132257541,1881.6061113029718,60026.008191518486,68.9047619047619,0.035027696083286076,0.0,8400,20000,25000,28000,44000,54000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/cnn_75,26,0,9100.0,21815.681449245087,1867.0970229431987,60034.72751751542,72.11538461538461,0.04336762372216371,0.0,11000,23000,53000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_100,35,0,1300.0,16576.55379000519,362.29956801980734,60046.105762943625,130.62857142857143,0.05837949347214346,0.0,1300,16000,30000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_150,55,0,2400.0,12869.476951777258,429.9512365832925,60037.62381244451,135.38181818181818,0.09173920402765401,0.0,2400,5300,13000,19000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_40,10,0,19000.0,32573.803598526865,490.0130331516266,60029.06313817948,113.6,0.016679855277755274,0.0,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_75,23,0,5600.0,21616.248134078214,377.7813948690891,60032.34184905887,127.0,0.038363667138837126,0.0,5600,36000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/float_100,40,0,1600.0,15919.944237289019,136.82455476373434,60065.328657627106,60.775,0.0667194211110211,0.0,2300,4200,33000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/float_150,50,0,1200.0,13216.224549934268,131.4963772892952,60031.409827061,58.78,0.08339927638877637,0.0,1300,5500,16000,33000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/float_40,17,0,2000.0,16664.677835014812,157.89196267724037,60030.97108285874,59.94117647058823,0.028355753972183966,0.0,2000,4400,30000,55000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/float_75,30,0,1100.0,14886.4766108493,138.36765382438898,60031.27986751497,59.5,0.05003956583326582,0.0,1200,3900,22000,54000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/gzip_100,30,0,1900.0,18826.420596800745,467.4282995983958,60029.522977769375,89.53333333333333,0.05003956583326582,0.0,2300,16000,40000,58000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/gzip_150,51,0,930.0,8480.050286022471,413.67157455533743,60036.881568841636,89.92156862745098,0.0850672619165519,0.0,930,1700,2600,3200,37000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/gzip_40,10,0,2200.0,23062.010517995805,523.3261110261083,60029.30061798543,88.9,0.016679855277755274,0.0,8500,40000,56000,60000,60000,60000,60000,60000,60000,60000,60000
