Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,cham_100-1636666954.4769032,1,0,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918,1918
Transaction,gzip_150-1636666954.477826,1,0,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089,2089
Transaction,hello_150-1636666956.4773767,1,0,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034,1034
Transaction,lin_pack_100-1636666956.4805048,1,0,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446,1446
Transaction,gzip_75-1636666956.479099,1,0,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452,1452
Transaction,dd_150-1636666957.4844584,1,0,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953,1953
Transaction,aes_150-1636666958.497809,1,0,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778,1778
Transaction,float_100-1636666959.486174,1,0,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316,1316
Transaction,hello_150-1636666960.4019682,1,0,955,955,955,955,955,955,955,955,955,955,955,955,955,955,955
Transaction,hello_150-1636666961.4880986,1,0,223,223,223,223,223,223,223,223,223,223,223,223,223,223,223
Transaction,json_150-1636666955.4821537,1,0,6382,6382,6382,6382,6382,6382,6382,6382,6382,6382,6382,6382,6382,6382,6382
Transaction,lin_pack_40-1636666954.479387,1,0,8315,8315,8315,8315,8315,8315,8315,8315,8315,8315,8315,8315,8315,8315,8315
Transaction,cham_100-1636666962.4941103,1,0,313,313,313,313,313,313,313,313,313,313,313,313,313,313,313
Transaction,cham_150-1636666961.4896348,1,0,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651,1651
Transaction,lin_pack_100-1636666957.4831262,1,0,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327,6327
Transaction,lin_pack_100-1636666955.4806163,1,0,9257,9257,9257,9257,9257,9257,9257,9257,9257,9257,9257,9257,9257,9257,9257
Transaction,lin_pack_75-1636666963.4903848,1,0,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583,1583
