Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1636666954,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636666955,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636666956,10,,Aggregated,0.000000,0.000000,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1,0,1917.6383884623647,1917.6383884623647,1917.6383884623647,1917.6383884623647,5073.0
1636666957,15,,Aggregated,0.000000,0.000000,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2,0,1917.6383884623647,2003.2243472523987,1917.6383884623647,2088.810306042433,2581.0
1636666958,20,,Aggregated,0.000000,0.000000,1500,1900,1900,2100,2100,2100,2100,2100,2100,2100,2100,5,0,1500.0,1587.5753600150347,1033.9853148907423,2088.810306042433,1084.4
1636666959,25,,Aggregated,0.666667,0.000000,1900,1900,2000,2000,2100,2100,2100,2100,2100,2100,2100,6,0,1500.0,1648.2072100043297,1033.9853148907423,2088.810306042433,927.3333333333334
1636666960,30,,Aggregated,1.250000,0.000000,1800,1900,2000,2000,2100,2100,2100,2100,2100,2100,2100,7,0,1800.0,1666.6474612429738,1033.9853148907423,2088.810306042433,802.1428571428571
1636666961,35,,Aggregated,1.000000,0.000000,1500,1800,1900,2000,2100,2100,2100,2100,2100,2100,2100,9,0,1500.0,1548.509217488269,954.4922169297934,2088.810306042433,637.0
1636666962,40,,Aggregated,1.000000,0.000000,1500,1900,2000,2000,2100,6400,6400,6400,6400,6400,6400,11,0,1500.0,1867.440214888616,223.24703633785248,6382.012370042503,535.4545454545455
1636666963,45,,Aggregated,1.142857,0.000000,1700,1900,2000,2100,6400,8300,8300,8300,8300,8300,8300,14,0,1500.0,2201.345166856689,223.24703633785248,8314.2458954826,1153.0714285714287
1636666964,50,,Aggregated,1.142857,0.000000,1700,1900,2100,6300,6400,8300,8300,8300,8300,8300,8300,15,0,1700.0,2476.3985006138682,223.24703633785248,8314.2458954826,1083.4
1636666965,55,,Aggregated,1.444444,0.000000,1800,1900,2100,2800,6400,8300,9300,9300,9300,9300,9300,21,0,1800.0,2632.27542560725,223.24703633785248,9257.22837075591,798.5714285714286
1636666966,60,,Aggregated,1.500000,0.000000,1800,1900,2100,2800,6400,8300,9300,9300,9300,9300,9300,23,0,1800.0,2552.7311093781304,223.24703633785248,9257.22837075591,954.3913043478261
1636666967,60,,Aggregated,1.600000,0.000000,1800,1900,2800,6300,8400,9300,12000,12000,12000,12000,12000,27,0,1800.0,3008.222102842949,223.24703633785248,11668.052585795522,825.4444444444445
1636666968,60,,Aggregated,2.100000,0.000000,1800,2000,6300,8300,11000,12000,13000,13000,13000,13000,13000,30,0,1800.0,3542.743975389749,223.24703633785248,13154.792009852827,917.2
1636666969,60,,Aggregated,2.400000,0.000000,1800,2800,6600,8400,11000,13000,15000,15000,15000,15000,15000,33,0,1800.0,4136.185112493959,223.24703633785248,14740.718106739223,838.969696969697
