Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_40-1636653836.8115387,1,0,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114,2114
Transaction,aes_40-1636653836.8076582,1,0,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367
Transaction,float_150-1636653837.814743,1,0,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528,1528
Transaction,json_150-1636653837.813651,1,0,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540,1540
Transaction,json_150-1636653836.810774,1,0,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665,2665
Transaction,hello_150-1636653838.8138788,1,0,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076,1076
Transaction,json_150-1636653838.8186233,1,0,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391,1391
Transaction,float_150-1636653840.2913578,1,0,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216
Transaction,cham_100-1636653836.8090813,1,0,4324,4324,4324,4324,4324,4324,4324,4324,4324,4324,4324,4324,4324,4324,4324
Transaction,gzip_150-1636653836.8099918,1,0,4579,4579,4579,4579,4579,4579,4579,4579,4579,4579,4579,4579,4579,4579,4579
Transaction,hello_100-1636653840.1590426,1,0,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346,1346
Transaction,hello_100-1636653840.8183708,1,0,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558
Transaction,json_100-1636653840.81708,1,0,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736,1736
Transaction,aes_150-1636653840.0409393,1,0,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550,2550
Transaction,hello_150-1636653842.8192363,1,0,231,231,231,231,231,231,231,231,231,231,231,231,231,231,231
Transaction,lin_pack_150-1636653841.7099054,1,0,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393
Transaction,hello_100-1636653842.8166335,1,0,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299
Transaction,aes_150-1636653840.815782,1,0,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537
Transaction,hello_40-1636653842.769087,1,0,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127,1127
Transaction,json_100-1636653843.9187493,1,0,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
Transaction,hello_75-1636653843.3226264,1,0,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227,1227
Transaction,gzip_75-1636653838.815424,1,0,5769,5769,5769,5769,5769,5769,5769,5769,5769,5769,5769,5769,5769,5769,5769
Transaction,aes_150-1636653842.6134036,1,0,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982,1982
Transaction,lin_pack_100-1636653837.8120663,1,0,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949,6949
Transaction,hello_40-1636653844.7611105,1,0,152,152,152,152,152,152,152,152,152,152,152,152,152,152,152
Transaction,cham_100-1636653843.8186326,1,0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
Transaction,gzip_150-1636653843.8209963,1,0,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212,1212
Transaction,hello_75-1636653844.8232899,1,0,211,211,211,211,211,211,211,211,211,211,211,211,211,211,211
Transaction,lin_pack_150-1636653844.8223913,1,0,302,302,302,302,302,302,302,302,302,302,302,302,302,302,302
Transaction,hello_150-1636653845.8307347,1,0,273,273,273,273,273,273,273,273,273,273,273,273,273,273,273
Transaction,lin_pack_150-1636653845.8293407,1,0,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
Transaction,gzip_150-1636653839.6033602,1,0,6541,6541,6541,6541,6541,6541,6541,6541,6541,6541,6541,6541,6541,6541,6541
Transaction,gzip_150-1636653845.9400187,1,0,895,895,895,895,895,895,895,895,895,895,895,895,895,895,895
Transaction,hello_100-1636653846.8268406,1,0,630,630,630,630,630,630,630,630,630,630,630,630,630,630,630
Transaction,gzip_150-1636653841.0158257,1,0,7206,7206,7206,7206,7206,7206,7206,7206,7206,7206,7206,7206,7206,7206,7206
Transaction,gzip_75-1636653846.456742,1,0,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186,2186
Transaction,hello_100-1636653848.8364255,1,0,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176
Transaction,gzip_40-1636653846.828076,1,0,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861,2861
Transaction,gzip_100-1636653848.4046159,1,0,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657,1657
Transaction,float_150-1636653849.8343885,1,0,259,259,259,259,259,259,259,259,259,259,259,259,259,259,259
Transaction,json_150-1636653849.8387697,1,0,332,332,332,332,332,332,332,332,332,332,332,332,332,332,332
Transaction,cham_100-1636653848.8313625,1,0,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496,1496
Transaction,image_40-1636653837.808612,1,0,13101,13101,13101,13101,13101,13101,13101,13101,13101,13101,13101,13101,13101,13101,13101
Transaction,aes_150-1636653850.4105701,1,0,766,766,766,766,766,766,766,766,766,766,766,766,766,766,766
Transaction,gzip_150-1636653849.9217765,1,0,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311,1311
Transaction,cnn_100-1636653844.3192976,1,0,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230,7230
Transaction,lin_pack_150-1636653851.2927196,1,0,289,289,289,289,289,289,289,289,289,289,289,289,289,289,289
