Method,Name,Error,Occurrences
GET,/api/v1/web/afuerst/default/cnn_150,400 Client Error: Bad Request for url: https://172.29.200.161:10001/api/v1/web/afuerst/default/cnn_150,3
GET,/api/v1/web/afuerst/default/cnn_100,400 Client Error: Bad Request for url: https://172.29.200.161:10001/api/v1/web/afuerst/default/cnn_100,1
GET,/api/v1/web/afuerst/default/cnn_75,400 Client Error: Bad Request for url: https://172.29.200.161:10001/api/v1/web/afuerst/default/cnn_75,1
GET,/api/v1/web/afuerst/default/cnn_40,400 Client Error: Bad Request for url: https://172.29.200.161:10001/api/v1/web/afuerst/default/cnn_40,1
