Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/hello_100,78,0,240.0,1925.7382022049756,135.67522354424,33103.52406091988,63.91025641025641,0.1301392727492837,0.0,240,300,560,740,1300,22000,33000,33000,33000,33000,33000
GET,/api/v1/web/afuerst/default/hello_150,126,0,210.0,357.7707178802008,32.36738685518503,3621.5520594269037,63.96825396825397,0.21022497905653517,0.0,210,260,270,360,840,1000,1300,3300,3600,3600,3600
GET,/api/v1/web/afuerst/default/hello_40,29,0,200.0,1995.2783460953626,38.53273577988148,26475.555422715843,63.86206896551724,0.04838511422729778,0.0,200,590,630,1100,8400,13000,26000,26000,26000,26000,26000
GET,/api/v1/web/afuerst/default/hello_75,58,0,220.0,421.13223021593075,137.3178344219923,2105.5162865668535,63.91379310344828,0.09677022845459556,0.0,220,280,350,740,1200,1200,1800,2100,2100,2100,2100
GET,/api/v1/web/afuerst/default/image_100,67,0,8200.0,11050.926046765673,6894.195576198399,51156.17438592017,50.83582089552239,0.1117862983872052,0.0,8200,8700,9000,9600,19000,35000,47000,51000,51000,51000,51000
GET,/api/v1/web/afuerst/default/image_150,89,0,11000.0,11997.87797567466,6395.6959545612335,23911.092836409807,51.258426966292134,0.14849224711136214,0.0,11000,13000,15000,16000,20000,21000,22000,24000,24000,24000,24000
GET,/api/v1/web/afuerst/default/image_40,31,0,8500.0,9723.10867151546,7090.6050726771355,20771.23561128974,51.0,0.05172201865676659,0.0,8500,9100,9500,9900,13000,18000,21000,21000,21000,21000,21000
GET,/api/v1/web/afuerst/default/image_75,56,0,8200.0,9649.695803394674,6775.370014831424,21828.63573078066,50.875,0.09343332402512675,0.0,8300,9000,9300,10000,16000,18000,19000,22000,22000,22000,22000
GET,/api/v1/web/afuerst/default/json_100,76,0,670.0,2106.695856641684,185.25026179850101,32893.693027086556,93.4342105263158,0.12680236831981487,0.0,670,820,1100,1200,1600,18000,28000,33000,33000,33000,33000
GET,/api/v1/web/afuerst/default/json_150,98,0,670.0,1796.1958776969386,163.52939512580633,26367.47090704739,93.40816326530613,0.1635083170439718,0.0,670,880,1100,1300,2100,15000,24000,26000,26000,26000,26000
GET,/api/v1/web/afuerst/default/json_40,35,0,840.0,22680.320716729122,220.4069383442402,60037.88546100259,90.28571428571429,0.05839582751570421,0.0,840,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/json_75,62,0,650.0,2736.6695515961655,187.82821856439114,32907.535259611905,93.59677419354838,0.10344403731353317,0.0,700,850,1400,1500,3100,14000,30000,33000,33000,33000,33000
GET,/api/v1/web/afuerst/default/lin_pack_100,87,0,260.0,6041.829948356353,61.19355279952288,60055.95853924751,106.25287356321839,0.14515534268189334,0.0,260,420,800,1100,17000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/lin_pack_150,110,0,310.0,17853.165850720623,25.33635962754488,60039.246985688806,102.11818181818182,0.18352974362078467,0.0,310,1200,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/lin_pack_40,25,0,410.0,682.9192792251706,148.06289412081242,2113.5779172182083,107.64,0.04171130536836015,0.0,410,820,910,1400,1800,2000,2100,2100,2100,2100,2100
GET,/api/v1/web/afuerst/default/lin_pack_75,52,0,410.0,2770.922206592961,180.66071067005396,36723.555508069694,107.84615384615384,0.08675951516618911,0.0,440,620,940,1100,11000,18000,25000,37000,37000,37000,37000
GET,/api/v1/web/afuerst/default/train_100,71,0,15000.0,16703.0197106774,9254.248562268913,32866.56891275197,51.352112676056336,0.11846010724614284,0.0,15000,18000,21000,22000,28000,31000,32000,33000,33000,33000,33000
GET,/api/v1/web/afuerst/default/train_150,109,0,21000.0,28414.297530085805,8729.620867408812,60044.46964710951,59.96330275229358,0.18186129140605026,0.0,21000,28000,49000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/train_40,30,0,13000.0,16202.733803571513,9486.953209154308,40929.919303394854,51.03333333333333,0.05005356644203218,0.0,13000,17000,19000,19000,30000,30000,41000,41000,41000,41000,41000
GET,/api/v1/web/afuerst/default/train_75,38,0,16000.0,25487.63691048187,9698.038755916059,60072.96969555318,58.63157894736842,0.06340118415990743,0.0,17000,25000,28000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/video_100,85,0,13000.0,24947.37787179868,8045.151310972869,60033.586107194424,60.32941176470588,0.14181843825242452,0.0,13000,19000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/video_150,92,0,11000.0,17040.71153051463,8081.904084421694,60033.66995509714,55.0,0.15349760375556537,0.0,12000,14000,15000,16000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/video_40,25,0,10000.0,16645.33817447722,8435.399169102311,57331.521136686206,50.92,0.04171130536836015,0.0,10000,11000,11000,34000,38000,45000,57000,57000,57000,57000,57000
GET,/api/v1/web/afuerst/default/video_75,51,0,10000.0,17633.686036437604,8015.508628450334,60067.95747205615,55.23529411764706,0.08509106295145472,0.0,10000,13000,16000,17000,60000,60000,60000,60000,60000,60000,60000
,Aggregated,3200,6,1400.0,8846.449435526447,22.08048850297928,60079.13930993527,533.613125,5.3390470871500995,0.010010713288406437,1400,4300,9400,12000,28000,60000,60000,60000,60000,60000,60000
