,invokname,was_cold,latency
0,train_75,True,13.882391452789307
1,gzip_100,True,3.655961275100708
2,dd_100,True,6.16173243522644
3,hello_75,True,13.681553602218628
4,gzip_75,True,5.91215968132019
5,train_100,True,27.65909504890442
6,float_75,True,8.022885084152222
7,hello_40,True,17.070746660232544
8,image_75,True,17.854727268218994
9,json_10,True,12.921392917633057
10,hello_75,True,20.607584714889526
11,float_40,True,17.031981468200684
12,train_75,True,33.62753748893738
13,image_100,True,20.00023102760315
14,dd_100,False,5.043057203292847
15,json_10,True,16.822779178619385
16,json_100,True,20.355735540390015
17,train_100,True,33.08569121360779
18,aes_100,True,25.50889754295349
19,float_75,True,24.92715096473694
20,lin_pack_100,True,27.209125518798828
21,aes_100,True,31.472280979156494
22,lin_pack_75,True,11.633060932159424
23,hello_40,True,24.55134129524231
24,cnn_40,True,37.311774015426636
25,gzip_100,False,1.1247994899749756
26,image_100,True,24.547550916671753
27,json_40,True,14.700866937637329
28,json_100,True,32.359092235565186
29,hello_40,True,24.682589769363403
30,aes_100,True,35.59975075721741
31,dd_100,False,3.0589659214019775
32,train_100,True,36.8983154296875
33,hello_100,True,27.149324655532837
34,cham_40,True,32.9172089099884
35,lin_pack_100,True,33.29409074783325
36,gzip_75,False,1.3157267570495605
37,aes_40,True,27.357879400253296
38,lin_pack_75,True,13.338499546051025
39,cham_10,True,14.407060861587524
40,hello_75,False,1.3655593395233154
41,aes_100,True,32.99323582649231
42,dd_100,False,2.7651710510253906
43,float_100,True,36.90487480163574
44,aes_100,True,37.85336351394653
45,dd_40,True,30.339680433273315
46,image_40,True,42.156383991241455
47,dd_100,False,3.5035762786865234
48,json_100,True,38.699002742767334
49,train_100,True,45.09284162521362
50,gzip_100,False,2.620049238204956
51,cham_100,True,16.351086378097534
52,float_75,False,2.025432586669922
53,hello_75,False,1.9057693481445312
54,json_75,True,16.658645391464233
55,cnn_40,True,41.19306254386902
56,hello_100,True,35.67406129837036
57,lin_pack_100,True,36.190667152404785
58,hello_100,True,35.12427473068237
59,train_100,False,10.32361912727356
60,hello_100,True,41.14668011665344
61,json_100,False,1.746119737625122
62,image_75,False,9.315182447433472
63,image_75,True,30.353532314300537
64,gzip_100,False,2.282148599624634
65,image_75,True,30.45750594139099
66,gzip_40,True,18.344850301742554
67,image_75,True,31.519269704818726
68,float_40,False,1.045438528060913
69,dd_40,True,36.53189563751221
70,dd_40,True,44.43093657493591
71,image_100,False,10.410046577453613
72,lin_pack_40,True,45.08559560775757
73,hello_40,False,0.9938650131225586
74,cham_100,True,23.94933557510376
75,train_75,False,10.352657556533813
76,aes_100,False,1.7071354389190674
77,json_40,False,1.5205416679382324
78,aes_75,True,24.941982746124268
79,aes_100,False,2.5518341064453125
80,json_40,False,1.5218086242675781
81,hello_100,False,1.3170218467712402
82,gzip_75,False,1.7682750225067139
83,lin_pack_100,False,1.604707956314087
84,float_10,True,20.7311372756958
85,train_100,False,11.783590078353882
86,aes_75,True,21.111695051193237
87,aes_100,False,2.3174383640289307
88,image_75,False,10.802735090255737
89,json_75,False,1.6347122192382812
90,image_75,True,27.103089332580566
91,gzip_100,False,1.6852574348449707
