Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_40-1636671896.1533482,1,0,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826,1826
Transaction,json_150-1636671896.152586,1,0,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987,1987
Transaction,json_150-1636671898.1559463,1,0,485,485,485,485,485,485,485,485,485,485,485,485,485,485,485
Transaction,float_150-1636671897.155497,1,0,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518,1518
Transaction,aes_40-1636671896.149281,1,0,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537,2537
Transaction,json_150-1636671897.154712,1,0,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812,1812
Transaction,hello_150-1636671898.151237,1,0,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020,1020
Transaction,hello_75-1636671898.157708,1,0,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112,1112
Transaction,json_150-1636671899.1632042,1,0,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
Transaction,float_150-1636671899.718866,1,0,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037,1037
Transaction,gzip_150-1636671896.1518059,1,0,4938,4938,4938,4938,4938,4938,4938,4938,4938,4938,4938,4938,4938,4938,4938
Transaction,json_75-1636671899.9758925,1,0,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469,1469
Transaction,cham_100-1636671896.1508725,1,0,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353,5353
Transaction,hello_150-1636671901.15755,1,0,347,347,347,347,347,347,347,347,347,347,347,347,347,347,347
Transaction,float_150-1636671900.1543472,1,0,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
Transaction,hello_100-1636671900.1578143,1,0,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757
Transaction,json_100-1636671900.1569178,1,0,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120,2120
Transaction,aes_150-1636671900.1560988,1,0,2199,2199,2199,2199,2199,2199,2199,2199,2199,2199,2199,2199,2199,2199,2199
Transaction,hello_150-1636671902.159262,1,0,275,275,275,275,275,275,275,275,275,275,275,275,275,275,275
Transaction,float_150-1636671902.5209258,1,0,458,458,458,458,458,458,458,458,458,458,458,458,458,458,458
Transaction,aes_150-1636671902.7271833,1,0,722,722,722,722,722,722,722,722,722,722,722,722,722,722,722
Transaction,hello_150-1636671902.162453,1,0,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780,1780
Transaction,cham_100-1636671903.1601171,1,0,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073,1073
Transaction,lin_pack_100-1636671897.1539016,1,0,7447,7447,7447,7447,7447,7447,7447,7447,7447,7447,7447,7447,7447,7447,7447
Transaction,gzip_150-1636671903.1631787,1,0,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485,1485
Transaction,aes_150-1636671903.1586487,1,0,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809,1809
Transaction,json_150-1636671904.0556881,1,0,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201,1201
Transaction,json_150-1636671905.1681035,1,0,279,279,279,279,279,279,279,279,279,279,279,279,279,279,279
Transaction,json_75-1636671904.162009,1,0,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304,1304
Transaction,hello_100-1636671906.1697135,1,0,186,186,186,186,186,186,186,186,186,186,186,186,186,186,186
Transaction,cham_100-1636671904.8803775,1,0,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510,1510
Transaction,cnn_150-1636671897.152204,1,0,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914
Transaction,lin_pack_150-1636671905.9570804,1,0,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751
Transaction,lin_pack_150-1636671906.1669745,1,0,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085,2085
Transaction,json_40-1636671905.5844643,1,0,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096,3096
Transaction,lin_pack_100-1636671899.1519387,1,0,9637,9637,9637,9637,9637,9637,9637,9637,9637,9637,9637,9637,9637,9637,9637
Transaction,cham_100-1636671908.1712673,1,0,920,920,920,920,920,920,920,920,920,920,920,920,920,920,920
Transaction,float_75-1636671901.897673,1,0,7508,7508,7508,7508,7508,7508,7508,7508,7508,7508,7508,7508,7508,7508,7508
Transaction,gzip_75-1636671898.152922,1,0,11921,11921,11921,11921,11921,11921,11921,11921,11921,11921,11921,11921,11921,11921,11921
