Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_40-1636667949.1922085,1,0,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217,2217
Transaction,aes_40-1636667949.1881568,1,0,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295,2295
Transaction,float_150-1636667950.1958945,1,0,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360,1360
Transaction,lin_pack_100-1636667950.1928182,1,0,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508
Transaction,lin_pack_100-1636667951.1951933,1,0,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204,1204
Transaction,lin_pack_100-1636667952.1940186,1,0,206,206,206,206,206,206,206,206,206,206,206,206,206,206,206
Transaction,gzip_75-1636667951.194468,1,0,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491,1491
Transaction,dd_75-1636667952.1985438,1,0,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240
Transaction,float_150-1636667952.7667928,1,0,816,816,816,816,816,816,816,816,816,816,816,816,816,816,816
Transaction,dd_75-1636667954.1595664,1,0,484,484,484,484,484,484,484,484,484,484,484,484,484,484,484
Transaction,json_100-1636667953.1966531,1,0,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922,1922
Transaction,aes_150-1636667952.5076292,1,0,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776,2776
Transaction,aes_150-1636667953.1955018,1,0,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666,2666
Transaction,float_150-1636667956.0424154,1,0,177,177,177,177,177,177,177,177,177,177,177,177,177,177,177
Transaction,cham_100-1636667949.1896343,1,0,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066,7066
Transaction,gzip_75-1636667955.9261158,1,0,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600
Transaction,gzip_150-1636667949.1906276,1,0,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440,7440
Transaction,aes_150-1636667956.8448598,1,0,820,820,820,820,820,820,820,820,820,820,820,820,820,820,820
Transaction,gzip_100-1636667956.2049851,1,0,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595,1595
Transaction,json_100-1636667957.486203,1,0,548,548,548,548,548,548,548,548,548,548,548,548,548,548,548
Transaction,cham_100-1636667957.2011735,1,0,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509
Transaction,json_150-1636667950.194373,1,0,8675,8675,8675,8675,8675,8675,8675,8675,8675,8675,8675,8675,8675,8675,8675
Transaction,gzip_75-1636667958.207982,1,0,768,768,768,768,768,768,768,768,768,768,768,768,768,768,768
Transaction,aes_150-1636667957.9250684,1,0,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398,1398
Transaction,gzip_150-1636667957.2044399,1,0,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392,2392
Transaction,float_75-1636667959.1777484,1,0,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016,1016
Transaction,json_150-1636667949.1914282,1,0,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294,11294
Transaction,float_40-1636667959.3682837,1,0,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942,1942
Transaction,hello_150-1636667951.193384,1,0,10427,10427,10427,10427,10427,10427,10427,10427,10427,10427,10427,10427,10427,10427,10427
Transaction,aes_100-1636667959.2098968,1,0,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654,2654
Transaction,json_150-1636667959.2083952,1,0,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967,2967
