Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/web/afuerst/default/aes_100,51,0,1200.0,2221.185503673612,741.0613037645817,22598.796881735325,51.78431372549019,0.08505002781984472,0.0,1200,1500,1800,2000,2500,8400,9900,23000,23000,23000,23000
GET,/api/v1/web/afuerst/default/aes_150,109,0,760.0,940.300116947758,479.555431753397,2437.0525181293488,51.95412844036697,0.1817735888698642,0.0,760,900,1000,1200,1600,1700,2200,2300,2400,2400,2400
GET,/api/v1/web/afuerst/default/aes_40,15,0,830.0,1040.628900937736,639.5573746412992,2466.4515824988484,51.86666666666667,0.02501471406466021,0.0,830,880,1400,1500,1600,2500,2500,2500,2500,2500,2500
GET,/api/v1/web/afuerst/default/aes_75,55,0,960.0,2874.22379207882,627.3146411404014,32286.173419095576,51.70909090909091,0.09172061823708744,0.0,960,1200,1400,1600,3700,19000,31000,32000,32000,32000,32000
GET,/api/v1/web/afuerst/default/cham_100,63,0,420.0,1363.2150435494998,129.16529923677444,22533.9998267591,5073.222222222223,0.10506179907157288,0.0,420,700,1000,1100,2100,3600,16000,23000,23000,23000,23000
GET,/api/v1/web/afuerst/default/cham_150,84,0,490.0,2329.3528376546287,77.37459987401962,26626.506338827312,5073.3452380952385,0.1400823987620972,0.0,490,730,850,1000,1700,21000,23000,27000,27000,27000,27000
GET,/api/v1/web/afuerst/default/cham_40,31,0,450.0,2986.5024288094814,228.70262805372477,28966.32384788245,5073.129032258064,0.0516970757336311,0.0,450,670,1400,2000,6600,23000,29000,29000,29000,29000,29000
GET,/api/v1/web/afuerst/default/cham_75,41,0,480.0,3212.2662828372017,232.17330407351255,28190.867158584297,5073.243902439024,0.0683735517767379,0.0,480,780,890,1300,14000,20000,28000,28000,28000,28000,28000
GET,/api/v1/web/afuerst/default/cnn_100,62,2,2800.0,3304.5772736020867,1665.8962266519666,13429.12649270147,69.64516129032258,0.1033941514672622,0.0033352952086213613,2800,3000,3300,3500,5300,6700,8500,13000,13000,13000,13000
GET,/api/v1/web/afuerst/default/cnn_150,111,3,3000.0,5050.521371567303,1846.0492677986622,36968.547547236085,69.34234234234235,0.18510888407848555,0.005002942812932042,3000,3300,3700,3800,9500,22000,27000,31000,37000,37000,37000
GET,/api/v1/web/afuerst/default/cnn_40,23,1,2500.0,3403.199657878798,1940.8105909824371,12806.927074678242,70.21739130434783,0.038355894899145655,0.0016676476043106807,2500,3000,3100,3100,3900,11000,13000,13000,13000,13000,13000
GET,/api/v1/web/afuerst/default/cnn_75,49,1,3100.0,9632.763762388151,1823.8479755818844,45946.74065615982,68.91836734693878,0.08171473261122335,0.0016676476043106807,3100,3900,15000,22000,27000,41000,46000,46000,46000,46000,46000
GET,/api/v1/web/afuerst/default/dd_100,79,0,1300.0,2198.7864430993795,471.67312633246183,16996.689301915467,142.0253164556962,0.13174416074054376,0.0,1300,1800,2200,2400,6000,8300,13000,17000,17000,17000,17000
GET,/api/v1/web/afuerst/default/dd_150,87,0,50000.0,33723.91772435058,287.3386200517416,60070.082754828036,115.54022988505747,0.14508534157502923,0.0,50000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
GET,/api/v1/web/afuerst/default/dd_40,19,0,1500.0,1871.1765217349719,638.7895476073027,9373.76757338643,142.52631578947367,0.03168530448190293,0.0,1500,1700,1800,1900,2700,9400,9400,9400,9400,9400,9400
GET,/api/v1/web/afuerst/default/dd_75,52,0,30000.0,32975.19836221965,621.1521802470088,60041.31573997438,116.98076923076923,0.0867176754241554,0.0,43000,60000,60000,60000,60000,60000,60000,60000,60000,60000,60000
