Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1636670914,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636670915,5,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636670916,10,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0
1636670917,15,,Aggregated,0.000000,0.000000,1500,1500,2600,2600,2600,2600,2600,2600,2600,2600,2600,3,0,1500.0,1883.9186150580645,1491.4587950333953,2649.130250327289,89.0
1636670918,20,,Aggregated,0.000000,0.000000,1500,1500,2600,2600,3200,3200,3200,3200,3200,3200,3200,7,0,1500.0,1686.4708819027458,228.57162170112133,3155.271696858108,88.85714285714286
1636670919,25,,Aggregated,0.000000,0.000000,1700,2600,3200,4000,4700,4700,4700,4700,4700,4700,4700,10,0,1500.0,2218.9383367076516,228.57162170112133,4660.126863978803,583.5
1636670920,30,,Aggregated,1.000000,0.000000,1700,1800,2600,3200,4000,4700,4700,4700,4700,4700,4700,13,0,1700.0,2105.0963175411407,228.57162170112133,4660.126863978803,467.0769230769231
1636670921,35,,Aggregated,2.000000,0.000000,1800,2600,3200,4000,4700,6900,6900,6900,6900,6900,6900,14,0,1700.0,2445.44876526509,228.57162170112133,6870.030585676432,440.14285714285717
1636670922,40,,Aggregated,2.000000,0.000000,1800,2400,3200,4000,4700,6900,6900,6900,6900,6900,6900,15,0,1800.0,2440.039155135552,228.57162170112133,6870.030585676432,420.26666666666665
1636670923,45,,Aggregated,1.857143,0.000000,1600,1800,2600,3200,4700,6900,6900,6900,6900,6900,6900,19,0,1600.0,2156.6979724325633,228.57162170112133,6870.030585676432,348.3157894736842
1636670924,50,,Aggregated,1.857143,0.000000,1600,1800,2600,3200,4700,6900,8600,8600,8600,8600,8600,24,0,1500.0,2290.6291235315925,228.57162170112133,8643.046534620225,500.75
1636670925,55,,Aggregated,1.875000,0.000000,1500,1800,2400,3200,4700,6900,8600,8600,8600,8600,8600,25,0,1500.0,2241.8376998603344,228.57162170112133,8643.046534620225,482.88
1636670926,60,,Aggregated,1.888889,0.000000,1500,1800,2200,2600,4700,6900,8600,8600,8600,8600,8600,29,0,1500.0,2081.080869482509,228.57162170112133,8643.046534620225,427.2413793103448
1636670927,65,,Aggregated,2.400000,0.000000,1500,1800,2400,2600,4700,8400,8600,8600,8600,8600,8600,32,0,1500.0,2220.1694723044056,228.57162170112133,8643.046534620225,397.8125
1636670928,70,,Aggregated,2.900000,0.000000,1600,2000,3200,4000,8600,12000,13000,13000,13000,13000,13000,36,0,1500.0,2966.2767554529837,181.02624360471964,12662.063609808683,359.6388888888889
1636670929,70,,Aggregated,2.900000,0.000000,1700,2400,4700,8000,9600,11000,13000,13000,13000,13000,13000,43,0,1700.0,3414.580010765687,181.02624360471964,12662.063609808683,427.16279069767444
1636670930,70,,Aggregated,2.700000,0.000000,1700,2600,6500,8000,10000,12000,15000,15000,15000,15000,15000,47,0,1700.0,3601.6715039756705,181.02624360471964,14516.333306208253,396.7659574468085
1636670931,70,,Aggregated,2.900000,0.000000,1500,2200,6500,8000,10000,13000,14000,15000,15000,15000,15000,56,0,1500.0,3513.0634560815192,181.02624360471964,14516.333306208253,437.0892857142857
1636670932,70,,Aggregated,2.900000,0.000000,1500,2000,4700,8000,10000,13000,14000,15000,15000,15000,15000,59,0,1500.0,3374.645612518287,148.32427352666855,14516.333306208253,417.54237288135596
