Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_100-1636669932.5302386,1,0,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056,1056
Transaction,image_150-1636669925.4880717,1,0,8984,8984,8984,8984,8984,8984,8984,8984,8984,8984,8984,8984,8984,8984,8984
Transaction,lin_pack_150-1636669919.689674,1,0,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866,14866
Transaction,lin_pack_150-1636669934.404481,1,0,476,476,476,476,476,476,476,476,476,476,476,476,476,476,476
Transaction,aes_150-1636669918.846936,1,0,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057,16057
Transaction,lin_pack_100-1636669916.3356006,1,0,19415,19415,19415,19415,19415,19415,19415,19415,19415,19415,19415,19415,19415,19415,19415
Transaction,cnn_100-1636669929.7649748,1,0,6163,6163,6163,6163,6163,6163,6163,6163,6163,6163,6163,6163,6163,6163,6163
Transaction,cham_150-1636669921.3362427,1,0,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774,14774
Transaction,cham_100-1636669934.7111342,1,0,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614,1614
Transaction,float_100-1636669919.3363078,1,0,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034,17034
Transaction,hello_100-1636669919.3330963,1,0,17205,17205,17205,17205,17205,17205,17205,17205,17205,17205,17205,17205,17205,17205,17205
Transaction,dd_150-1636669917.3346257,1,0,20219,20219,20219,20219,20219,20219,20219,20219,20219,20219,20219,20219,20219,20219,20219
Transaction,gzip_100-1636669937.1829152,1,0,660,660,660,660,660,660,660,660,660,660,660,660,660,660,660
Transaction,train_100-1636669924.3477983,1,0,13628,13628,13628,13628,13628,13628,13628,13628,13628,13628,13628,13628,13628,13628,13628
Transaction,dd_75-1636669936.9574833,1,0,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234,1234
Transaction,train_150-1636669926.351625,1,0,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918,11918
Transaction,train_100-1636669926.3506045,1,0,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077,12077
Transaction,train_100-1636669917.3352425,1,0,22426,22426,22426,22426,22426,22426,22426,22426,22426,22426,22426,22426,22426,22426,22426
Transaction,train_40-1636669926.3495276,1,0,13559,13559,13559,13559,13559,13559,13559,13559,13559,13559,13559,13559,13559,13559,13559
Transaction,gzip_100-1636669939.0491319,1,0,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
Transaction,train_100-1636669917.3321517,1,0,23957,23957,23957,23957,23957,23957,23957,23957,23957,23957,23957,23957,23957,23957,23957
Transaction,cnn_100-1636669940.0390918,1,0,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762,1762
Transaction,video_75-1636669934.588065,1,0,7480,7480,7480,7480,7480,7480,7480,7480,7480,7480,7480,7480,7480,7480,7480
Transaction,dd_100-1636669924.3430727,1,0,17964,17964,17964,17964,17964,17964,17964,17964,17964,17964,17964,17964,17964,17964,17964
Transaction,cnn_75-1636669918.3363466,1,0,23994,23994,23994,23994,23994,23994,23994,23994,23994,23994,23994,23994,23994,23994,23994
Transaction,json_40-1636669921.1178381,1,0,21228,21228,21228,21228,21228,21228,21228,21228,21228,21228,21228,21228,21228,21228,21228
Transaction,cnn_40-1636669918.3335662,1,0,24223,24223,24223,24223,24223,24223,24223,24223,24223,24223,24223,24223,24223,24223,24223
