Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
Transaction,lin_pack_40-1636674874.7963326,1,0,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737,1737
Transaction,json_150-1636674874.7955475,1,0,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
Transaction,float_150-1636674875.800131,1,0,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305
Transaction,json_150-1636674875.7985675,1,0,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769,1769
Transaction,aes_40-1636674874.7922637,1,0,2777,2777,2777,2777,2777,2777,2777,2777,2777,2777,2777,2777,2777,2777,2777
Transaction,json_150-1636674876.7990825,1,0,848,848,848,848,848,848,848,848,848,848,848,848,848,848,848
Transaction,json_40-1636674877.1682425,1,0,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254,1254
Transaction,hello_75-1636674876.8003674,1,0,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670,1670
Transaction,json_150-1636674878.280768,1,0,401,401,401,401,401,401,401,401,401,401,401,401,401,401,401
Transaction,hello_150-1636674876.794569,1,0,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889
Transaction,float_150-1636674878.8025465,1,0,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Transaction,gzip_150-1636674874.794769,1,0,4441,4441,4441,4441,4441,4441,4441,4441,4441,4441,4441,4441,4441,4441,4441
Transaction,cham_100-1636674874.793853,1,0,4903,4903,4903,4903,4903,4903,4903,4903,4903,4903,4903,4903,4903,4903,4903
Transaction,json_100-1636674878.8001916,1,0,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710,1710
Transaction,hello_100-1636674878.8013356,1,0,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751,1751
Transaction,aes_150-1636674878.408903,1,0,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596,2596
Transaction,hello_150-1636674880.8055887,1,0,304,304,304,304,304,304,304,304,304,304,304,304,304,304,304
Transaction,hello_100-1636674880.8020651,1,0,312,312,312,312,312,312,312,312,312,312,312,312,312,312,312
Transaction,aes_150-1636674879.1623974,1,0,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960,1960
Transaction,aes_150-1636674878.7990346,1,0,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349,2349
Transaction,aes_150-1636674881.4831927,1,0,568,568,568,568,568,568,568,568,568,568,568,568,568,568,568
Transaction,cham_100-1636674881.8038654,1,0,804,804,804,804,804,804,804,804,804,804,804,804,804,804,804
Transaction,json_75-1636674881.5491903,1,0,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099,1099
Transaction,gzip_150-1636674881.807419,1,0,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027,1027
Transaction,json_100-1636674882.0738688,1,0,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192,1192
Transaction,lin_pack_150-1636674881.5031583,1,0,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083,2083
Transaction,aes_150-1636674882.7932549,1,0,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108,1108
